subsystem,feature,c_reference,rust_reference,status,notes
transfers,upload_create/write/save,pclsync/pupload.c,"crates/pcloud-backends/src/transfer_backend.rs (upload_bytes_chunked); crates/pcloud-backends/src/upload_state.rs (UploadStateMachine)",Implemented,"transfer_backend.rs::upload_bytes_chunked drives the full create→write-loop→save state machine via UploadStateMachine (upload_state.rs). The state machine persists resume offsets in SQLite (UploadResumeRepository), retries with configurable backoff (RetryPolicy), refreshes auth tokens on 2000-class errors, and cleans up orphaned server-side reservations on permanent failure. upload_writefromfile (server-side copy) is wired at the proto/backend/daemon/CLI/SDK level. Sequential write (one request-response per chunk) is used rather than C PSYNC_MAX_PENDING_UPLOAD_REQS=16 pipelining; true frame-mux pipelining is tracked as a performance follow-up but does not affect functional parity. SDK single-shot helpers (upload_data/upload_file) are implemented; SDK UploadSession row 94 remains Partial for its public chunked session route."
transfers,upload wire methods (uploadfile/upload_info/upload_delete/upload_writefromfile/upload_blockchecksums/getchecksumlink),"pclsync/pupload.c:694,881,1281,843; pclsync/pnetlibs.c:1588,1676","crates/pcloud-proto/src/methods/upload.rs; crates/pcloud-proto/src/transfer_api.rs; crates/pcloud-backends/src/upload_state.rs; crates/pcloud-ipc/src/methods.rs; crates/pcloud-daemon/src/runtime.rs; crates/pcloud-cli/src/commands.rs; crates/pcloud-sdk/src/lib.rs",Implemented,"All proto primitives + DTOs landed: uploadfile, upload_create, upload_write (with body), upload_writefromfile encoder (UploadWriteFromFileRequest at pcloud_proto::methods::upload), upload_info, upload_save, upload_delete, upload_blockchecksums, getchecksumlink; BlockChecksumHeader/BlockChecksum decoders; upload_sha1_hex; UploadErrorClass classifier; mirrored constants. State machine (UploadStateMachine) is fully implemented. upload_writefromfile server-side copy is wired to the real C primitive shape: Request::UploadWriteFromFile carries upload_session_id/source_fileid/source_hash/uploadoffset/source offset/count, daemon dispatch calls TransferRuntime::upload_write_from_file, CLI exposes pcloudc upload write-from-file <UPLOAD_ID> <SOURCE_FILEID> <SOURCE_HASH> <UPLOAD_OFFSET> <SOURCE_OFFSET> <COUNT> with a legacy same-offset alias, and SDK exposes EmbeddedDaemon::upload_write_from_file. IPC proptest covers the distinct offset shape; backend tests cover server-side-copy encoding/execution."
transfers,SDK UploadSession (start_upload/progress/pause/resume/cancel/await_completion),pclsync/pupload.c,crates/pcloud-sdk/src/upload_session.rs,Implemented,"Public EmbeddedDaemon::start_upload now drives the chunked UploadSessionDriver via RuntimeUploadDriver wrapping daemon.runtime.transfer_runtime — upload_create + N×upload_write (DEFAULT_CHUNK_SIZE = 4 MiB) + upload_save state machine, no longer the legacy single-shot run_upload over upload_data. ConflictMode is mapped to ConflictParam (IfHashNumeric→IfHash, CreateIfAbsent→New) and threaded onto the bundled save frame via TransferRuntime::upload_bytes_with_observer_and_conflict / upload_save_session. Verified by start_upload_drives_chunked_sequence_with_conflict_threaded_to_save (TCP mock impersonating the binary API; asserts on-wire upload_create→2×upload_write→upload_save sequence and ifhash parameter on the save frame). 53 sdk + 170 backends lib tests pass (Fire 91, 2026-05-01). Live E2E remains a desirable follow-up but does not block functional parity."
backup,psync_create_backup,pclsync/psynclib.h:711,"crates/pcloud-proto/src/backup_api.rs; crates/pcloud-backends/src/backup_backend.rs; crates/pcloud-sdk/src/lib.rs; crates/pcloud-ipc/src/methods.rs (Request::CreateBackup); crates/pcloud-cli/src/commands.rs (Command::BackupCreate)",Implemented,"backup/createbackup parity on the active Rust path via BackupApi::create_backup, BackupRuntime::create_backup_with_cascade, and the SDK create_backup helper. IPC: Request::CreateBackup variant added (pcloud-ipc::methods). CLI: pcloudc backup create <name> <root_folder_id> <local_path> [parent_name] wired through Command::BackupCreate. SecretString auth tokens are zeroized after the call."
backup,psync_delete_backup,pclsync/psynclib.h:715,"crates/pcloud-proto/src/backup_api.rs; crates/pcloud-backends/src/backup_backend.rs:211 (BackupRuntime::stop_backup); crates/pcloud-backends/src/backup_backend.rs:381 (BackupRuntime::delete_backup_with_cascade); crates/pcloud-backends/src/backup_backend.rs:140 (SyncRootCascade trait); crates/pcloud-sdk/src/lib.rs",Implemented,"backup/stopbackup parity via BackupApi::stop_backup and the SDK delete_backup helper. Sync-root removal cascade half landed: BackupRuntime::delete_backup_with_cascade calls backup/stopbackup against the remote folder id and then unregisters the matching local sync root via the SyncRootCascade adapter (mirrors the C psync_delete_sync(syncId) call in psynclib.c:2472). Idempotent: re-running on an already-removed root returns Ok(false) instead of erroring, so retrying after partial completion is safe. SecretString auth tokens are zeroized after the call. Verified by backup_backend::tests::delete_backup_cascades_into_sync_root_removal, delete_backup_cascade_is_idempotent, delete_backup_cascade_skips_removal_on_backend_error."
backup,psync_stop_device,pclsync/psynclib.h:719,"crates/pcloud-proto/src/backup_api.rs; crates/pcloud-backends/src/backup_backend.rs; crates/pcloud-sdk/src/lib.rs; crates/pcloud-ipc/src/methods.rs (Request::StopDevice); crates/pcloud-cli/src/commands.rs (Command::BackupStopDevice)",Implemented,"backup/stopdevice parity via BackupApi::stop_device and the SDK stop_device helper. IPC: Request::StopDevice variant added. CLI: pcloudc backup stop-device <device_folder_id> wired."
backup,psync_delete_backup_device,pclsync/psynclib.h:733,"crates/pcloud-sdk/src/lib.rs; crates/pcloud-ipc/src/methods.rs (Request::DeleteBackupDevice); crates/pcloud-cli/src/commands.rs (Command::BackupDeleteDevice)",Implemented,"local-only cleanup hook exposed via SDK delete_backup_device. IPC: Request::DeleteBackupDevice variant added (local-only, no network call). CLI: pcloudc backup delete-device wired. Clears the persisted device backup-root folder id so the next create_backup allocates a fresh device."
backup,psync_send_backup_del_event,pclsync/psynclib.h:736,,Rejected,"C-internal UI event plumbing; replaced by the Rust structured audit event stream"
backup,psync_add_device_monitor_callback,pclsync/psynclib.h:1554,,Rejected,"commented-out in the C header (never compiled); callback-style device monitor not part of the retained surface"
backup,psync_list_devices,pclsync/psynclib.h:1556,,Rejected,"commented-out in the C header (never compiled); listing devices is not exposed by the current C library and is not mirrored"
updates,psync_check_new_version,pclsync/psynclib.h:1081,,Rejected,"ghost: declared in C header, no linked body in pclsync/*.c (verified by tree-wide grep); see REJECTED-RATIONALES-14042026.md row 102. Update delivery is delegated to OS packaging."
updates,psync_check_new_version_str,pclsync/psynclib.h:1079,,Rejected,"ghost: header-only, no body in this fork; see REJECTED-RATIONALES-14042026.md row 103."
updates,psync_check_new_version_download,pclsync/psynclib.h:1087,,Rejected,"ghost: header-only, no body in this fork; see REJECTED-RATIONALES-14042026.md row 104."
updates,psync_check_new_version_download_str,pclsync/psynclib.h:1084,,Rejected,"ghost: header-only, no body in this fork; see REJECTED-RATIONALES-14042026.md row 105."
updates,psync_run_new_version,pclsync/psynclib.h:1088,,Rejected,"ghost: header-only, no body in this fork; self-update is delegated to OS package managers; see REJECTED-RATIONALES-14042026.md row 106."
crypto,psync_crypto_setup,pclsync/psynclib.h:1197,"crates/pcloud-crypto/src/lib.rs; crates/pcloud-daemon/src/runtime.rs",Implemented,"CryptoShell::setup derives the master key with Argon2, stores a non-secret HMAC fingerprint, and wipes the derived key before returning; daemon exposes via Request::CryptoSetup; persist_master_key policy flag rejected so plaintext keys are never written to disk"
crypto,psync_crypto_start,pclsync/psynclib.h:1204,"crates/pcloud-crypto/src/lib.rs; crates/pcloud-daemon/src/runtime.rs",Implemented,"CryptoShell::start verifies the password against the stored fingerprint in constant time (subtle::ConstantTimeEq) and keeps the derived key resident only as SecretBytes; wrong password maps to Unauthorized without touching content"
crypto,psync_crypto_stop,pclsync/psynclib.h:1206,"crates/pcloud-crypto/src/lib.rs; crates/pcloud-daemon/src/runtime.rs",Implemented,"CryptoShell::stop drops the SecretBytes key material (zeroize on drop) and returns to UnlockState::Locked; exposed via Method::LockCrypto"
crypto,psync_crypto_isstarted,pclsync/psynclib.h:1208,crates/pcloud-crypto/src/lib.rs,Implemented,"CryptoShell::is_started; also surfaced in GetCryptoStatus response"
crypto,psync_crypto_mkdir,pclsync/psynclib.h:1209,"crates/pcloud-crypto/src/lib.rs; crates/pcloud-daemon/src/runtime.rs",Implemented,"CryptoShell::mkdir produces a deterministic encrypted filename via HMAC-SHA256 and records local folder bookkeeping; requires unlocked state; daemon Request::CryptoMkdir"
crypto,psync_crypto_issetup,pclsync/psynclib.h:1220,crates/pcloud-crypto/src/lib.rs,Implemented,"CryptoShell::is_setup; surfaced in GetCryptoStatus"
crypto,psync_crypto_hassubscription,pclsync/psynclib.h:1221,,Rejected,"billing/subscription surface belongs to the account/userinfo path and is not part of the crypto runtime parity slice"
crypto,psync_crypto_isexpired,pclsync/psynclib.h:1223,,Rejected,"billing expiry surface - same rationale as hassubscription"
crypto,psync_crypto_expires,pclsync/psynclib.h:1227,,Rejected,"billing expiry timestamp - same rationale"
crypto,psync_crypto_reset,pclsync/psynclib.h:1232,"crates/pcloud-crypto/src/lib.rs; crates/pcloud-daemon/src/runtime.rs",Implemented,"CryptoShell::reset wipes fingerprint, folder registry, hint, and active key material; daemon Method::CryptoReset; does not talk to the backend (local scope only, matches the local-state portion of psync_crypto_reset)"
crypto,psync_crypto_folderid,pclsync/psynclib.h:1236,crates/pcloud-crypto/src/lib.rs,Implemented,"CryptoShell::any_folder_id"
crypto,psync_crypto_folderids,pclsync/psynclib.h:1239,crates/pcloud-crypto/src/lib.rs,Implemented,"CryptoShell::folder_ids"
crypto,psync_crypto_crypto_send_change_user_private,pclsync/psynclib.h:1243,"crates/pcloud-proto/src/methods/crypto.rs; crates/pcloud-proto/src/crypto_api.rs; crates/pcloud-backends/src/crypto_backend.rs; crates/pcloud-daemon/src/runtime.rs; crates/pcloud-sdk/src/lib.rs",Implemented,"SendChangeUserPrivateRequest DTO + CryptoApi::send_change_user_private + CryptoRuntime + daemon Method::SendCryptoChangeUserPrivate + SDK EmbeddedDaemon::crypto_send_change_user_private; auth token scoped transit-only, never logged"
crypto,psync_crypto_change_crypto_pass,pclsync/psynclib.h:1247,"crates/pcloud-crypto/src/lib.rs; crates/pcloud-proto/src/methods/crypto.rs; crates/pcloud-daemon/src/runtime.rs; crates/pcloud-sdk/src/lib.rs",Implemented,"CryptoShell::change_password verifies old passphrase against the stored HMAC setup fingerprint in constant time, applies a constant-time byte compare between old and new to reject no-op rotations, then delegates to change_password_unlocked which rotates the Argon2 salt + fingerprint, produces a version-tagged opaque blob signed (HMAC-SHA256) under the old master key, and uploads via ChangeUserPrivateRequest. SecretString for all passwords; derived material wiped on error paths; daemon Request::CryptoChangePassword + SDK EmbeddedDaemon::crypto_change_password integration-tested end-to-end including lock/reunlock cycle"
crypto,psync_crypto_change_crypto_pass_unlocked,pclsync/psynclib.h:1257,"crates/pcloud-crypto/src/lib.rs; crates/pcloud-daemon/src/runtime.rs; crates/pcloud-sdk/src/lib.rs",Implemented,"CryptoShell::change_password_unlocked requires the shell to already be unlocked, rotates the Argon2 derivation salt and setup fingerprint, signs the new blob under the *current* master key so the server can prove the upload came from a live session, leaves the shell unlocked with the new key; daemon Request::CryptoChangePasswordUnlocked + SDK EmbeddedDaemon::crypto_change_password_unlocked"
crypto,psync_crypto_priv_key_flags,pclsync/psynclib.h:1265,"crates/pcloud-crypto/src/keys.rs; crates/pcloud-crypto/src/lib.rs; crates/pcloud-daemon/src/runtime.rs; crates/pcloud-sdk/src/lib.rs",Implemented,"KeyManager.private_flags (default 0, PRIV_KEY_FLAG_TEMP_PASS=1 mirrors C PSYNC_CRYPTO_FLAG_TEMP_PASS); CryptoShell::priv_key_flags getter; Method::GetCryptoPrivKeyFlags IPC; SDK EmbeddedDaemon::crypto_priv_key_flags; rotation through change_password[_unlocked] updates this value"
crypto,psync_crypto_get_hint,pclsync/psynclib.h:1199,crates/pcloud-crypto/src/lib.rs,Implemented,"CryptoShell::get_hint; hint stored non-secret"
crypto,psync_crypto_share_folder,pclsync/psynclib.h:1009,"crates/pcloud-crypto/src/share_rsa.rs; crates/pcloud-crypto/src/share_temppass.rs; crates/pcloud-proto/src/shares_api.rs (crypto_share_folder_rsa); crates/pcloud-proto/src/methods/crypto.rs (CryptoGetPubKeyRequest); crates/pcloud-backends/src/shares_backend.rs (SharesRuntime::crypto_share_folder_rsa); crates/pcloud-backends/src/crypto_backend.rs (CryptoRuntime::get_pub_key); crates/pcloud-ipc/src/methods.rs (Request::CryptoShareFolderRsa); crates/pcloud-daemon/src/runtime.rs (RuntimeShell::crypto_share_folder_rsa orchestrator); crates/pcloud-live-e2e/tests/team_share_verb.rs (live_crypto_share_folder_rsa_dispatches_verb_reached)",Implemented,"RSA-4096-OAEP path: user-facing IPC variant Request::CryptoShareFolderRsa lands the daemon-side multi-RPC orchestrator (CLAUDEREV deferred-set D6, fire 56) that fetches the recipient's pub_key_ver1 blob via crypto_getpubkey then RSA-OAEP-wraps the sharer's folder sym-key against it before dispatching the crypto-share request. Verb-reached live coverage. Live two-account E2E proof remains gated on the standing live-e2e harness — same posture as every other recently-implemented Implemented row."
crypto,psync_has_crypto_folders,pclsync/psynclib.h:1574,crates/pcloud-crypto/src/lib.rs,Implemented,"derived from CryptoShell::folders.is_empty(); also surfaced in GetCryptoStatus"
crypto,psync_update_cryptostatus,pclsync/psynclib.h:1541,,Rejected,"C internal refresh hook; Rust state is pulled on demand via GetCryptoStatus so a push refresh is unnecessary"
crypto,psync_delete_cached_crypto_keys,pclsync/psynclib.h:1612,crates/pcloud-crypto/src/lib.rs,Implemented,"equivalent to CryptoShell::stop (wipes zeroized key material); no further cache exists on the Rust path"
crypto,content sector encryption,pclsync/pcryptofolder.c,"crates/pcloud-crypto/src/content.rs; crates/pcloud-crypto/src/lib.rs",Implemented,"AES-256-GCM sealing per sector with 12-byte random nonce and 16-byte tag; sector index bound into AAD; per-file keys derived via HMAC-SHA256 from master + random file seed so the master never directly encrypts content"
crypto,metadata filename encryption,pclsync/pcryptofolder.c,crates/pcloud-crypto/src/metadata.rs,Implemented,"deterministic HMAC-SHA256 filename encoding keyed by the master key; empty / path-embedded names rejected"
shares,psync_share_folder,pclsync/psynclib.h:986,crates/pcloud-proto/src/shares_api.rs,Implemented,"SharesApi::share_folder + SharesRuntime + daemon dispatch + CLI share-folder"
shares,psync_list_sharerequests,pclsync/psynclib.h:967,crates/pcloud-proto/src/shares_api.rs,Implemented,"SharesApi::list_share_requests; dev-mode fixtures + unit tests"
shares,psync_list_shares,pclsync/psynclib.h:968,crates/pcloud-proto/src/shares_api.rs,Implemented,"SharesApi::list_shares; dev-mode fixtures + unit tests"
shares,psync_cancel_share_request,pclsync/psynclib.h:1019,crates/pcloud-proto/src/shares_api.rs,Implemented,""
shares,psync_accept_share_request,pclsync/psynclib.h:1034,crates/pcloud-proto/src/shares_api.rs,Implemented,""
shares,psync_decline_share_request,pclsync/psynclib.h:1026,crates/pcloud-proto/src/shares_api.rs,Implemented,""
shares,psync_remove_share,pclsync/psynclib.h:1043,crates/pcloud-proto/src/shares_api.rs,Implemented,""
shares,psync_modify_share,pclsync/psynclib.h:1056,crates/pcloud-proto/src/shares_api.rs,Implemented,""
shares,psync_crypto_share_folder,pclsync/psynclib.h:1009,"crates/pcloud-proto/src/shares_api.rs; crates/pcloud-crypto/src/share_temppass.rs; crates/pcloud-backends/src/shares_backend.rs; crates/pcloud-ipc/src/methods.rs (Request::CryptoShareFolder); crates/pcloud-daemon/src/runtime.rs (crypto_share_folder)",Implemented,"Duplicate row for psync_crypto_share_folder (see row 124 for RSA-4096 path). Non-RSA temppass-rewrap path now end-to-end: SharesRuntime::crypto_share_folder reachable through Request::CryptoShareFolder IPC variant with serde-bincode roundtrip via proptest; daemon dispatch arm + handler with empty-input guards, auth-token snapshot, crypto-locked precondition check, SharePermissions::from_bits decode, and audit category shares.crypto_share_folder. Temppass field uses RedactedString audit-H1 wrapper on the wire and is destructured into SecretString at the dispatch boundary. RSA-4096-OAEP path (crypto_share_folder_rsa, row 124) intentionally NOT routed through this variant — that remains tracked as row 124's reachability work. Closed by CLAUDEREV iter-2 H-5 / fire 15 (2026-04-30). Live two-account proof remains gated on the standing live-e2e harness."
shares,psync_account_stopshare,pclsync/psynclib.h:1049,crates/pcloud-proto/src/shares_api.rs,Implemented,"multi-id user+team parity mirrors do_psync_account_stopshare in pbusinessaccount.c"
shares,do_psync_account_modifyshare,pclsync/pbusinessaccount.h:35,crates/pcloud-proto/src/shares_api.rs,Implemented,"per-share permission batch modify"
shares,psync_account_teamshare,pclsync/psynclib.h:1490,crates/pcloud-proto/src/shares_api.rs,Implemented,"SharesRuntime::account_team_share + CLI account-teamshare command"
shares,psync_crypto_account_teamshare,pclsync/psynclib.h:1511,"crates/pcloud-crypto/src/share_rsa.rs; crates/pcloud-crypto/src/share_temppass.rs; crates/pcloud-proto/src/shares_api.rs (crypto_account_team_share + crypto_account_team_share_rsa); crates/pcloud-proto/src/methods/crypto.rs (CryptoGetPubKeyRequest::TeamId); crates/pcloud-backends/src/shares_backend.rs (SharesRuntime::crypto_account_team_share + crypto_account_team_share_rsa); crates/pcloud-ipc/src/methods.rs (Request::CryptoAccountTeamShare); crates/pcloud-daemon/src/runtime.rs (RuntimeShell::crypto_account_team_share dispatch arm); crates/pcloud-live-e2e/tests/team_share_verb.rs (live_crypto_account_team_share_dispatches_verb_reached)",Implemented,"PclsyncCompat temppass-rewrap path: user-facing IPC variant Request::CryptoAccountTeamShare lands the daemon dispatch arm (CLAUDEREV deferred-set D3, fire 47), with verb-reached live coverage. RSA-4096-OAEP path (crypto_account_team_share_rsa) backend exists; user-facing IPC route remains tracked under CLAUDEREV deferred-set D6."
business,psync_list_contacts,pclsync/psynclib.h:1463,crates/pcloud-backends/src/shares_backend.rs,Implemented,"contactlist + SharesRuntime::list_contacts filters type!=3"
business,psync_list_myteams,pclsync/psynclib.h:1466,crates/pcloud-backends/src/shares_backend.rs,Implemented,"contactlist + SharesRuntime::list_my_teams filters type==3"
links,psync_file_public_link,pclsync/psynclib.h:1304,crates/pcloud-backends/src/public_link_backend.rs,Implemented,"file public link create"
links,psync_folder_public_link,pclsync/psynclib.h:1366,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_folder_public_link_full,pclsync/psynclib.h:1368,"crates/pcloud-proto/src/public_links_api.rs; crates/pcloud-backends/src/public_link_backend.rs; crates/pcloud-ipc/src/methods.rs (Request::CreateFolderPublicLinkWithOptions); crates/pcloud-daemon/src/runtime.rs (create_folder_public_link_with_options)",Implemented,"create_folder_public_link_with_options end-to-end: proto+backend (existing); IPC variant Request::CreateFolderPublicLinkWithOptions with serde-bincode roundtrip via proptest; daemon dispatch arm + handler with empty-path guard, auth-token snapshot, ACTION_UPLOAD_CREATE residency check, JSON id/code/is_folder/link payload; password field uses RedactedString audit-H1 wrapper. Closed by CLAUDEREV iter-2 H-4 / fire 12 (2026-04-30). Live two-account proof remains gated on the standing live-e2e harness."
links,psync_folder_updownlink_link,pclsync/psynclib.h:1373,"crates/pcloud-proto/src/public_links_api.rs; crates/pcloud-backends/src/public_link_backend.rs; crates/pcloud-ipc/src/methods.rs (Request::CreateFolderUpDownLink); crates/pcloud-daemon/src/runtime.rs (create_folder_updownlink)",Implemented,"create_folder_updownlink end-to-end: proto+backend (existing); IPC variant Request::CreateFolderUpDownLink with serde-bincode roundtrip via proptest; daemon dispatch arm + handler with empty-mail guard, auth-token snapshot, ACTION_UPLOAD_CREATE residency check, audit category publinks.create_folder_updownlink. Closed by CLAUDEREV iter-2 H-4 / fire 13 (2026-04-30). Live two-account proof remains gated on the standing live-e2e harness."
links,ptree_public_link,pclsync/psynclib.h:1375,"crates/pcloud-proto/src/public_links_api.rs; crates/pcloud-backends/src/public_link_backend.rs; crates/pcloud-backends/src/path_resolver.rs; crates/pcloud-ipc/src/methods.rs; crates/pcloud-daemon/src/runtime.rs; crates/pcloud-cli/src/commands.rs; crates/pcloud-sdk/src/lib.rs",Implemented,"Backend: create_tree_public_link is implemented. CLI: id-based create-tree-link is wired (Command::CreateTreeLink → Request::CreateTreePublicLink). Full path-based shape is wired through Request::CreateTreePublicLinkFromPathTargets with optional root, folder paths, and file paths; daemon resolves under authenticated PublicLinkPathResolver and calls create_tree_public_link_from_paths_default. Existing CreateTreePublicLinkFromPaths remains as a folder-only compatibility alias. CLI supports --root/--folder/--file (bare paths stay folder aliases); SDK supports mixed folder/file path classification plus explicit create_tree_public_link_from_targets. IPC proptest covers both compatibility and full target variants. Live-gated row 149 coverage in crates/pcloud-live-e2e/tests/tree_link_from_paths.rs dispatches CreateTreePublicLinkFromPathTargets with root/folder/file targets when credentials are provided."
links,psync_delete_link,pclsync/psynclib.h:1328,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_delete_all_links_folder,pclsync/psynclib.h:1393,,Rejected,"C helper iterates local pfs links cache that the Rust daemon deliberately does not mirror; equivalent cleanup is handled via explicit list_public_links + delete_public_link/delete_upload_link"
links,psync_delete_all_links_file,pclsync/psynclib.h:1394,,Rejected,"C helper iterates local pfs links cache that the Rust daemon deliberately does not mirror; equivalent cleanup is handled via explicit list_public_links + delete_public_link/delete_upload_link"
links,psync_list_links,pclsync/psynclib.h:1331,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_upload_link,pclsync/psynclib.h:1336,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_delete_upload_link,pclsync/psynclib.h:1339,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_list_upload_links,pclsync/psynclib.h:1343,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_sow_link,pclsync/psynclib.h:1349,,Rejected,"C typo for show_link; Rust exposes show_link only"
links,psync_show_link,pclsync/psynclib.h:1380,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_change_link,pclsync/psynclib.h:1382,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_psync_change_link,pclsync/psynclib.h:1443,,Rejected,"C-internal duplicate symbol (double prefix)"
links,psync_change_link_expire,pclsync/psynclib.h:1452,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_change_link_password,pclsync/psynclib.h:1454,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_change_link_enable_upload,pclsync/psynclib.h:1456,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_link_add_access,pclsync/psynclib.h:1432,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_link_remove_access,pclsync/psynclib.h:1435,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_list_email_with_access,pclsync/psynclib.h:1429,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
links,psync_cache_links_all,pclsync/psynclib.h:1396,,Rejected,"C-internal link cache warmup; Rust does not require pre-warm"
links,psync_screenshot_public_link,pclsync/psynclib.h:1402,"crates/pcloud-proto/src/public_links_api.rs; crates/pcloud-backends/src/public_link_backend.rs; crates/pcloud-ipc/src/methods.rs (Request::CreateScreenshotPublicLink); crates/pcloud-daemon/src/runtime.rs (create_screenshot_public_link)",Implemented,"create_screenshot_public_link end-to-end: proto+backend (existing); IPC variant Request::CreateScreenshotPublicLink with serde-bincode roundtrip via proptest; daemon dispatch arm + handler with empty-path guard, auth-token snapshot, ACTION_UPLOAD_CREATE residency check, JSON id/code/is_folder/link payload, audit category publinks.create_screenshot. Closed by CLAUDEREV iter-2 H-4 / fire 14 (2026-04-30). Live two-account proof remains gated on the standing live-e2e harness."
bookmarks,psync_cache_bookmarks,pclsync/psynclib.h:1438,,Rejected,"C-internal cache warmup"
bookmarks,psync_remove_bookmark,pclsync/psynclib.h:1439,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
bookmarks,psync_change_bookmark,pclsync/psynclib.h:1440,crates/pcloud-backends/src/public_link_backend.rs,Implemented,""
cli,help,control_tools.cpp:108,crates/pcloud-cli/src/app.rs,Implemented,"rich multi-line help advertises legacy aliases (?, st, p, f, q) and two-token groups (sync/s, crypto/c)"
cli,status,control_tools.cpp:239,crates/pcloud-cli/src/app.rs,Implemented,"status + legacy `st` alias"
cli,pending,control_tools.cpp:265,crates/pcloud-daemon/src/runtime.rs:1406,Implemented,"pending + legacy `p` alias (pending_transfers at runtime.rs:1406) — wave-5 citation refresh"
cli,sync list,control_tools.cpp:313,crates/pcloud-cli/src/app.rs,Implemented,"two-token legacy `sync list`/`sync ls`/`s ls` and single-token `sync-list` all resolve to Command::SyncList"
cli,sync add,control_tools.cpp:358,crates/pcloud-cli/src/app.rs,Implemented,"legacy `sync add <local> <remote>` and `s add` both resolve; positional args shift correctly via normalize_args"
cli,sync remove,control_tools.cpp:418,crates/pcloud-cli/src/app.rs,Implemented,"legacy `sync remove <id>`/`sync rm`/`s rm` and single-token `sync-remove` all resolve"
cli,sync pause,control_tools.cpp:384,crates/pcloud-cli/src/app.rs,Implemented,"legacy `sync pause`/`s pause` route to daemon-wide Pause (matches C SYNCPAUSE)"
cli,sync resume,control_tools.cpp:401,crates/pcloud-cli/src/app.rs,Implemented,"legacy `sync resume`/`s resume` route to daemon-wide Resume (matches C SYNCRESUME)"
cli,crypto start,control_tools.cpp:276,"crates/pcloud-cli/src/app.rs; crates/pcloud-daemon/src/runtime.rs",Implemented,"legacy `crypto start <pw>` / `c start <pw>` route to SubmitCryptoPassword. Password is carried in SecretInputs.crypto_password (SecretString, zeroize-on-drop). Daemon drives CryptoShell::setup+start."
cli,crypto stop,control_tools.cpp:296,"crates/pcloud-daemon/src/runtime.rs",Implemented,"legacy `crypto stop` / `c stop` route to LockCrypto; daemon drops zeroized key material"
cli,tfa,control_tools.cpp:173,crates/pcloud-cli/src/app.rs,Implemented,"legacy single-token `tfa <code>` alias routes to SubmitTwoFactorCode (non-recovery path)"
cli,auth,control_tools.cpp:193,crates/pcloud-cli/src/app.rs,Implemented,"legacy single-token `auth <password>` alias routes to SubmitPassword with empty-username slot (daemon reuses stored session username, matching SENDAUTH); password wrapped in SecretString; no echo"
cli,authsave,control_tools.cpp:216,crates/pcloud-daemon/src/runtime.rs:1100,Implemented,"authsave toggle/persist path around :1100-:1160 (sync_auth_vault, persist_profile, rollback)"
cli,finalize,control_tools.cpp:134,crates/pcloud-cli/src/app.rs,Implemented,"finalize/f/shutdown all route to Shutdown"
cli,quit,control_tools.cpp:168,crates/pcloud-cli/src/main.rs,Implemented,"quit/q/exit exits the CLI process locally without issuing any daemon RPC, matching legacy exit(0) semantics. Supersedes prior Rejected row."
sdk,embedded library shell,pclsync/psynclib.h:591,crates/pcloud-sdk/src/lib.rs,Implemented,"embedding exposes auth/session (is_authenticated/username/current_user_id/userinfo/logout/auth_token_secret), TFA helpers (send_two_factor_sms/send_two_factor_notification/submit_two_factor_code), notifications helpers, upload helpers (upload_data/upload_data_as/upload_file/upload_file_as/upload_write_from_file), upload-session facade (row 94 remains Partial for the public chunked driver route), download helpers (get_file_link/download_file), account utilities (get_api_servers/get_promo/verify_email/verify_email_restricted/lost_password/change_password/set_language/set_api_server/register), backup lifecycle (create_backup/delete_backup/stop_device/delete_backup_device), send_publink, tree public link helpers (mixed file/folder paths and explicit root/folder/file targets), folder metadata helpers (get_folder_id_by_path/get_folder_flags/get_folder_owner_id), filesystem status helper, run_localscan, remote folder creation by path, FS-level helpers: stat_path (mirrors psync_stat_path), list_folder (mirrors pfolder_list), mount/unmount lifecycle (delegates to daemon mount runtime). StatResult and FolderEntry are typed SDK return types mirroring C pentry_t; MountHelperError is the error surface for mount operations."
